product_slug,sku,label,pack_kg,weight_grams,price,compare_price,visible_stock_units,stock_source_kg,notes
white-cowpea-lobiya,YAS-WHITE-COWPEA-1KG,1kg,1,1000,109,129,10,10,Shared bulk stock. Do not treat variants as separate inventory.
wheat-rava,YAS-WHEAT-RAVA-500G,500g,0.5,500,30,40,20,10,Shared bulk stock. Do not treat variants as separate inventory.
wheat-rava,YAS-WHEAT-RAVA-1KG,1kg,1,1000,55,65,10,10,Shared bulk stock. Do not treat variants as separate inventory.
chana-dal,YAS-CHANA-DAL-500G,500g,0.5,500,60,70,20,10,Shared bulk stock. Do not treat variants as separate inventory.
chana-dal,YAS-CHANA-DAL-1KG,1kg,1,1000,105,125,10,10,Shared bulk stock. Do not treat variants as separate inventory.
cowpeas,YAS-COWPEAS-250G,250g,0.25,250,35,45,40,10,Shared bulk stock. Do not treat variants as separate inventory.
cowpeas,YAS-COWPEAS-500G,500g,0.5,500,55,65,20,10,Shared bulk stock. Do not treat variants as separate inventory.
cowpeas,YAS-COWPEAS-1KG,1kg,1,1000,95,115,10,10,Shared bulk stock. Do not treat variants as separate inventory.
moong-dal,YAS-MOONG-DAL-500G,500g,0.5,500,75,90,20,10,Shared bulk stock. Do not treat variants as separate inventory.
moong-dal,YAS-MOONG-DAL-1KG,1kg,1,1000,139,159,10,10,Shared bulk stock. Do not treat variants as separate inventory.
white-sugar,YAS-WHITE-SUGAR-1KG,1kg,1,1000,47,52,50,50,Shared bulk stock. Do not treat variants as separate inventory.
white-sugar,YAS-WHITE-SUGAR-5KG,5kg,5,5000,235,260,10,50,Shared bulk stock. Do not treat variants as separate inventory.
toor-dal,YAS-TOOR-DAL-500G,500g,0.5,500,75,85,100,50,Shared bulk stock. Do not treat variants as separate inventory.
toor-dal,YAS-TOOR-DAL-1KG,1kg,1,1000,135,149,50,50,Shared bulk stock. Do not treat variants as separate inventory.
toor-dal,YAS-TOOR-DAL-5KG,5kg,5,5000,675,745,10,50,Shared bulk stock. Do not treat variants as separate inventory.
